unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,MCV1,55,56,51,57,57,66,64,64,62,60,57,59,64,62,60,59,55,53,50,48,39,35,37,27
ECAR,ALB,Albania,MCV1,83,86,87,91,95,94,96,96,97,98,99,98,99,99,97,98,97,95,97,96,93,96,95,95
MENA,DZA,Algeria,MCV1,99,79,79,80,80,80,88,94,95,95,95,95,95,95,92,88,92,91,83,81,84,81,83,80
Non-programme,AND,Andorra,MCV1,99,98,99,98,99,99,99,97,96,96,95,98,99,99,98,98,94,91,94,98,96,98,97,97
ESAR,AGO,Angola,MCV1,50,37,36,44,51,50,42,45,51,56,59,65,57,62,46,48,58,21,21,43,44,59,60,32
LACR,ATG,Antigua and Barbuda,MCV1,94,99,85,89,93,96,99,88,91,93,96,98,99,98,99,99,99,99,99,97,99,99,97,95
LACR,ARG,Argentina,MCV1,80,85,86,77,86,94,89,90,89,95,94,94,95,95,96,96,94,97,98,99,97,95,89,91
ECAR,ARM,Armenia,MCV1,96,95,94,94,95,95,96,97,97,97,97,97,97,97,96,94,92,92,94,92,94,91,93,92
Non-programme,AUS,Australia,MCV1,91,96,93,93,94,94,94,95,95,94,94,94,94,94,94,94,94,94,94,94,94,94,92,91
Non-programme,AUT,Austria,MCV1,95,95,99,95,95,94,96,95,96,96,92,88,84,80,76,83,79,80,75,74,79,78,79,75
ECAR,AZE,Azerbaijan,MCV1,96,93,93,82,98,96,98,98,98,98,98,94,92,89,85,79,75,69,67,67,67,66,68,67
LACR,BHS,Bahamas,MCV1,86,80,82,87,83,89,90,89,94,92,92,91,90,94,98,90,96,88,85,89,90,94,94,93
MENA,BHR,Bahrain,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98
ROSA,BGD,Bangladesh,MCV1,97,97,97,97,97,97,97,97,97,94,91,88,93,88,93,92,89,83,88,81,76,75,77,74
LACR,BRB,Barbados,MCV1,89,85,77,89,92,85,92,92,96,95,87,90,93,85,94,94,75,92,93,98,90,91,93,94
ECAR,BLR,Belarus,MCV1,97,98,98,97,98,98,97,98,99,99,99,98,99,99,99,99,99,97,99,99,99,99,99,98
Non-programme,BEL,Belgium,MCV1,96,96,96,96,96,96,96,96,96,96,96,96,95,95,95,93,92,92,88,82,82,82,82,82
LACR,BLZ,Belize,MCV1,93,81,79,82,96,97,90,95,96,95,99,96,98,98,97,96,96,99,95,97,96,88,94,96
WCAR,BEN,Benin,MCV1,52,52,53,54,58,61,65,68,67,65,68,74,70,68,71,66,70,66,61,63,65,66,68,70
ROSA,BTN,Bhutan,MCV1,99,97,97,93,97,97,97,97,97,97,94,95,95,95,94,99,95,90,93,87,88,78,78,78
LACR,BOL,Bolivia (Plurinational State of),MCV1,68,69,75,74,79,89,83,94,95,89,87,92,96,88,93,92,86,88,89,90,96,91,88,84
ECAR,BIH,Bosnia and Herzegovina,MCV1,55,58,61,61,65,68,69,68,83,89,92,94,89,91,93,84,96,85,90,88,84,89,92,80
ESAR,BWA,Botswana,MCV1,97,90,97,87,97,97,97,97,97,97,97,97,97,96,96,95,95,94,93,93,92,92,91,91
LACR,BRA,Brazil,MCV1,87,81,73,79,91,92,87,95,96,97,98,99,99,99,99,99,99,99,98,97,97,96,99,99
EAPR,BRN,Brunei Darussalam,MCV1,97,97,99,99,97,99,97,98,96,97,96,95,91,94,99,99,97,97,98,99,98,99,99,99
ECAR,BGR,Bulgaria,MCV1,92,91,89,88,95,93,94,92,92,93,95,94,95,97,96,96,96,96,96,95,96,92,90,89
WCAR,BFA,Burkina Faso,MCV1,94,91,88,88,88,88,88,88,88,88,82,87,89,92,94,94,94,88,84,78,76,64,63,48
ESAR,BDI,Burundi,MCV1,86,89,90,90,92,88,90,93,93,94,98,93,93,92,91,84,88,92,87,78,76,75,73,72
WCAR,CPV,Cabo Verde,MCV1,95,95,95,95,98,99,96,93,92,93,91,91,96,97,97,96,95,94,92,91,90,89,88,86
EAPR,KHM,Cambodia,MCV1,79,83,83,83,87,86,85,85,85,83,79,84,88,90,92,89,79,78,79,80,65,52,59,65
WCAR,CMR,Cameroon,MCV1,71,68,65,63,61,61,67,72,71,71,71,74,76,79,74,80,74,73,68,64,61,53,51,49
Non-programme,CAN,Canada,MCV1,92,92,90,90,90,90,90,89,89,90,90,89,88,90,91,93,94,93,94,94,95,95,95,96
WCAR,CAF,Central African Republic,MCV1,41,41,41,41,41,41,41,45,46,47,25,48,49,53,56,58,59,61,62,55,49,42,35,36
WCAR,TCD,Chad,MCV1,63,54,53,45,40,41,37,37,46,45,57,63,54,46,36,27,31,39,27,16,23,25,26,28
LACR,CHL,Chile,MCV1,94,94,92,91,95,93,93,93,96,97,90,90,91,93,93,96,92,91,90,94,96,95,96,97
EAPR,CHN,China,MCV1,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,94,93,86,86,85,85,85,84
LACR,COL,Colombia,MCV1,93,88,86,90,95,95,93,93,94,91,92,94,88,88,95,92,95,95,94,92,93,93,93,88
ESAR,COM,Comoros,MCV1,70,71,68,75,76,74,75,77,81,80,82,85,79,72,79,76,65,66,67,76,67,71,70,70
WCAR,COG,Congo,MCV1,65,65,68,68,73,75,70,67,80,80,80,80,83,75,63,69,59,61,54,65,50,37,35,34
EAPR,COK,Cook Islands,MCV1,84,61,74,87,99,99,98,90,99,98,97,97,89,99,78,95,98,99,99,99,99,95,83,76
LACR,CRI,Costa Rica,MCV1,93,90,89,95,95,94,96,93,93,95,91,90,83,83,81,89,90,90,89,88,89,94,82,82
WCAR,CIV,Cote d'Ivoire,MCV1,70,62,65,63,71,74,70,73,67,59,69,74,49,64,67,63,67,73,84,78,70,71,71,68
ECAR,HRV,Croatia,MCV1,90,90,89,91,93,93,89,90,93,94,94,95,96,96,95,96,96,95,96,96,94,95,94,93
LACR,CUB,Cuba,MCV1,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,98,97,96,98,99,99,98,96,94
Non-programme,CYP,Cyprus,MCV1,82,84,86,86,86,90,90,90,90,86,86,86,87,87,87,87,87,87,86,86,86,86,86,86
Non-programme,CZE,Czechia,MCV1,87,97,97,94,92,96,97,98,99,99,99,98,98,98,98,97,98,97,97,97,97,98,97,97
EAPR,PRK,Democratic People's Republic of Korea,MCV1,28,67,99,99,98,98,99,99,98,99,99,99,99,99,98,98,99,96,96,95,95,98,92,78
WCAR,COD,Democratic Republic of the Congo,MCV1,52,56,55,62,65,64,65,63,65,69,68,69,66,66,65,64,64,63,61,57,49,42,35,46
Non-programme,DNK,Denmark,MCV1,95,95,95,94,96,95,97,94,91,90,89,90,87,85,84,87,89,90,95,96,96,95,94,99
MENA,DJI,Djibouti,MCV1,76,50,50,62,83,86,81,75,74,71,80,83,84,85,84,73,74,67,65,60,66,62,49,50
LACR,DMA,Dominica,MCV1,87,87,88,92,92,84,77,96,96,94,93,99,99,99,99,99,96,97,98,99,99,99,99,99
LACR,DOM,Dominican Republic,MCV1,94,91,88,82,96,91,86,85,90,88,83,88,87,85,84,83,82,81,79,81,83,86,88,85
LACR,ECU,Ecuador,MCV1,74,74,65,81,83,83,81,86,84,85,97,96,94,95,97,98,98,97,93,99,99,99,99,99
MENA,EGY,Egypt,MCV1,96,96,96,94,95,94,94,95,92,93,96,93,96,96,95,92,97,98,98,97,98,97,97,98
LACR,SLV,El Salvador,MCV1,99,80,97,84,96,87,89,98,97,96,94,93,89,92,91,95,99,98,99,93,90,93,95,97
WCAR,GNQ,Equatorial Guinea,MCV1,61,49,50,50,51,52,52,53,50,53,51,49,46,44,45,45,46,47,47,48,48,49,50,50
ESAR,ERI,Eritrea,MCV1,93,93,93,93,93,93,93,95,97,90,94,98,96,95,93,91,92,94,95,96,92,83,84,76
Non-programme,EST,Estonia,MCV1,89,89,89,91,88,87,93,93,93,93,94,94,94,95,95,95,96,96,96,96,95,95,95,93
ESAR,SWZ,Eswatini,MCV1,85,83,80,76,81,85,89,89,89,97,96,88,87,94,94,94,94,93,93,93,93,93,93,92
ESAR,ETH,Ethiopia,MCV1,61,55,53,59,57,54,58,57,55,54,55,62,68,64,59,54,49,44,40,35,35,36,35,36
EAPR,FJI,Fiji,MCV1,99,99,99,96,96,95,99,97,97,99,94,98,96,96,95,95,94,92,90,88,86,85,83,81
Non-programme,FIN,Finland,MCV1,94,94,93,95,96,96,94,94,95,96,97,97,97,98,98,97,98,97,97,97,97,96,96,96
Non-programme,FRA,France,MCV1,95,95,94,94,92,90,90,90,91,91,90,91,89,89,89,89,90,89,87,88,87,86,85,84
WCAR,GAB,Gabon,MCV1,66,52,64,53,62,59,63,64,68,61,70,71,72,62,63,67,62,55,55,55,55,55,55,55
WCAR,GMB,Gambia,MCV1,80,74,79,82,85,91,90,97,97,96,96,95,91,92,96,92,88,89,91,92,90,90,89,89
ECAR,GEO,Georgia,MCV1,95,90,90,91,99,98,95,93,96,92,97,93,91,94,83,97,97,96,90,86,76,75,74,73
Non-programme,DEU,Germany,MCV1,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96,96,95,94,94,92
WCAR,GHA,Ghana,MCV1,90,95,94,88,92,92,95,89,89,92,89,88,91,93,93,86,95,85,83,83,80,78,78,90
ECAR,GRC,Greece,MCV1,97,97,97,97,97,97,97,97,97,97,99,99,99,99,99,99,99,98,96,95,94,92,91,89
LACR,GRD,Grenada,MCV1,82,76,70,83,94,84,85,95,99,94,94,94,95,95,98,99,98,98,99,74,99,96,99,92
LACR,GTM,Guatemala,MCV1,88,86,88,89,90,89,94,89,79,68,91,93,89,93,92,96,86,95,93,95,94,92,91,86
WCAR,GIN,Guinea,MCV1,47,47,47,47,47,47,47,47,47,50,54,58,62,58,53,55,57,51,51,50,48,46,44,42
WCAR,GNB,Guinea-Bissau,MCV1,72,75,63,72,79,79,66,80,80,81,81,81,83,76,69,71,73,74,76,75,74,73,72,71
LACR,GUY,Guyana,MCV1,95,95,95,98,98,98,99,99,99,99,99,99,98,95,97,95,96,90,92,88,89,93,92,86
LACR,HTI,Haiti,MCV1,65,65,65,65,65,69,69,69,69,69,68,66,65,64,63,62,60,59,58,57,57,56,55,55
LACR,HND,Honduras,MCV1,77,77,81,82,89,91,98,98,98,97,97,97,97,98,98,93,94,95,96,92,95,97,99,98
Non-programme,HUN,Hungary,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,ISL,Iceland,MCV1,91,91,92,93,93,93,92,91,93,90,91,90,94,93,92,96,95,95,90,93,93,91,88,91
ROSA,IND,India,MCV1,93,95,89,89,95,93,90,88,87,85,83,83,84,82,78,72,70,69,68,64,60,56,57,56
EAPR,IDN,Indonesia,MCV1,82,92,72,76,88,89,90,88,87,86,87,82,80,78,74,76,76,79,77,76,74,72,76,76
MENA,IRN,Iran (Islamic Republic of),MCV1,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,97,99,94,96,99,99,96,99
MENA,IRQ,Iraq,MCV1,97,97,84,93,86,85,81,79,71,70,73,74,80,75,81,75,64,62,69,69,73,77,82,86
Non-programme,IRL,Ireland,MCV1,89,90,90,92,91,92,92,92,93,93,93,92,92,90,90,89,87,86,84,81,78,73,73,79
Non-programme,ISR,Israel,MCV1,98,98,99,99,99,98,98,97,98,97,98,96,97,96,97,98,97,96,94,97,96,95,95,95
Non-programme,ITA,Italy,MCV1,95,94,94,92,94,93,92,87,85,87,90,90,90,91,90,90,90,88,87,86,84,81,77,74
LACR,JAM,Jamaica,MCV1,93,91,88,93,94,89,95,95,91,92,94,93,88,89,88,88,76,87,84,86,78,86,85,88
Non-programme,JPN,Japan,MCV1,94,98,95,98,96,97,97,96,96,98,95,96,94,94,94,95,96,97,98,98,98,98,98,96
MENA,JOR,Jordan,MCV1,95,86,81,76,87,92,93,96,94,98,97,98,98,98,95,95,95,99,95,99,96,95,99,94
ECAR,KAZ,Kazakhstan,MCV1,99,99,97,93,99,99,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,95,95,99
ESAR,KEN,Kenya,MCV1,91,89,90,89,92,92,84,93,96,95,94,93,87,86,88,90,80,77,69,73,72,78,77,78
EAPR,KIR,Kiribati,MCV1,79,85,80,82,94,84,81,80,84,88,91,91,90,89,82,72,93,61,85,56,72,88,76,80
MENA,KWT,Kuwait,MCV1,99,99,94,95,97,98,99,99,93,94,99,99,99,98,99,99,99,99,99,97,97,97,99,99
ECAR,KGZ,Kyrgyzstan,MCV1,96,94,93,92,96,96,95,97,99,96,99,98,97,99,99,99,99,97,99,99,99,98,99,98
