unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,DTP3,60,58,55,61,65,67,63,65,64,63,64,66,68,66,63,64,63,58,58,50,41,36,33,24
ECAR,ALB,Albania,DTP3,97,97,98,98,99,99,99,98,99,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97
MENA,DZA,Algeria,DTP3,92,77,81,84,88,91,91,91,95,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86
Non-programme,AND,Andorra,DTP3,98,98,99,99,99,99,99,98,97,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98
ESAR,AGO,Angola,DTP3,54,42,45,51,57,63,56,59,59,55,54,53,52,51,50,49,48,44,47,47,46,47,42,31
LACR,ATG,Antigua and Barbuda,DTP3,97,99,92,96,95,95,95,92,99,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95
LACR,ARG,Argentina,DTP3,66,84,81,74,83,86,86,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83
ECAR,ARM,Armenia,DTP3,94,93,93,91,92,92,94,94,94,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93
Non-programme,AUS,Australia,DTP3,94,94,95,95,95,95,95,94,93,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90
Non-programme,AUT,Austria,DTP3,84,84,86,85,85,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,83,84,81
ECAR,AZE,Azerbaijan,DTP3,83,83,89,79,94,95,95,97,96,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76
LACR,BHS,Bahamas,DTP3,87,87,86,83,89,90,94,94,95,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99
MENA,BHR,Bahrain,DTP3,99,97,98,98,99,99,97,99,98,99,99,99,99,99,98,97,97,98,98,98,97,98,99,97
ROSA,BGD,Bangladesh,DTP3,98,98,98,98,98,98,98,98,98,97,96,94,96,94,97,96,94,94,93,99,87,83,85,82
LACR,BRB,Barbados,DTP3,85,86,82,85,90,95,90,97,97,94,91,87,91,86,93,85,93,84,92,93,89,87,84,93
ECAR,BLR,Belarus,DTP3,98,98,98,97,98,97,97,98,99,97,98,98,98,98,96,97,95,99,99,99,50,99,99,99
Non-programme,BEL,Belgium,DTP3,98,98,98,97,97,98,98,98,99,99,99,99,98,98,98,99,98,98,97,95,95,95,95,95
LACR,BLZ,Belize,DTP3,85,84,83,79,98,96,88,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,91
WCAR,BEN,Benin,DTP3,69,69,70,70,72,73,75,76,74,74,77,80,75,76,79,75,82,74,70,72,73,75,76,78
ROSA,BTN,Bhutan,DTP3,99,98,98,95,97,97,98,98,99,99,97,97,95,91,93,96,95,95,95,89,95,86,88,92
LACR,BOL,Bolivia (Plurinational State of),DTP3,67,69,70,68,75,83,84,87,89,85,87,93,95,91,93,88,84,83,85,84,88,77,71,75
ECAR,BIH,Bosnia and Herzegovina,DTP3,73,75,76,72,73,73,75,78,82,86,89,92,88,89,90,91,95,87,93,84,87,80,91,85
ESAR,BWA,Botswana,DTP3,95,86,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,97,97,97
LACR,BRA,Brazil,DTP3,90,77,68,77,70,87,83,89,96,93,97,95,99,99,99,99,99,99,99,99,99,99,98,98
EAPR,BRN,Brunei Darussalam,DTP3,99,99,99,99,99,99,99,99,99,99,99,95,97,95,99,98,99,97,94,92,92,94,97,99
ECAR,BGR,Bulgaria,DTP3,92,91,89,91,93,92,92,92,91,88,95,95,95,94,94,95,95,95,96,95,96,93,94,93
WCAR,BFA,Burkina Faso,DTP3,94,93,91,91,91,91,91,91,91,91,88,90,91,91,92,93,89,86,82,79,79,69,62,45
ESAR,BDI,Burundi,DTP3,89,91,94,93,93,90,91,94,94,95,96,96,96,96,94,92,99,92,87,83,82,81,81,80
WCAR,CPV,Cabo Verde,DTP3,93,93,93,93,96,98,96,96,93,95,93,94,90,99,99,99,98,96,95,93,92,91,90,90
EAPR,KHM,Cambodia,DTP3,85,85,87,87,88,89,90,91,91,90,86,90,91,90,94,91,82,80,82,85,69,54,60,59
WCAR,CMR,Cameroon,DTP3,75,71,71,68,67,68,74,78,76,76,76,79,81,84,80,84,82,81,80,73,73,66,63,62
Non-programme,CAN,Canada,DTP3,92,92,92,92,91,91,91,91,91,91,91,91,87,89,91,92,94,95,93,91,91,88,89,89
WCAR,CAF,Central African Republic,DTP3,42,42,42,42,42,42,42,42,43,45,23,47,47,45,42,45,48,51,54,51,47,44,40,37
WCAR,TCD,Chad,DTP3,67,60,58,52,50,46,41,41,42,36,39,40,33,39,25,19,28,40,25,21,22,24,26,37
LACR,CHL,Chile,DTP3,96,96,95,93,96,95,93,95,96,95,91,90,94,92,94,95,96,94,91,93,96,97,97,91
EAPR,CHN,China,DTP3,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85
LACR,COL,Colombia,DTP3,90,87,86,88,94,92,92,91,91,90,91,91,85,88,92,92,94,93,93,89,92,81,80,79
ESAR,COM,Comoros,DTP3,75,78,72,74,78,77,79,75,80,80,83,86,83,74,83,81,75,69,68,76,80,89,70,70
WCAR,COG,Congo,DTP3,78,78,77,73,79,75,69,71,80,90,85,85,82,74,78,79,72,73,62,67,50,41,31,33
